Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC
Global,0.9299974073113819,0.6670828131502289,0.9938003719776813,0.7983067729083665,0.9986074806188472,0.994211180917099
Personalized,0.9557514475844784,0.8036403750689465,0.9032858028518289,0.8505545826036194,0.9840397866949433,0.9315315153758859
